,Religion,Ablation Feature,5FCV Mean,Scores,Norm
0,True,CL,0.594109396914446,[0.56989247 0.55913978 0.58064516 0.60869565 0.65217391],l1
1,False,CL,0.5674124075859852,[0.56535948 0.56535948 0.56535948 0.56721311 0.57377049],l1
2,True,NVL,0.594109396914446,[0.56989247 0.55913978 0.58064516 0.60869565 0.65217391],l1
3,False,NVL,0.5674124075859852,[0.56535948 0.56535948 0.56535948 0.56721311 0.57377049],l1
4,True,Length,0.594109396914446,[0.56989247 0.55913978 0.58064516 0.60869565 0.65217391],l1
5,False,Length,0.5674124075859852,[0.56535948 0.56535948 0.56535948 0.56721311 0.57377049],l1
6,True,R2O,0.5962833099579242,[0.56989247 0.55913978 0.58064516 0.60869565 0.66304348],l1
7,False,R2O,0.5674124075859852,[0.56535948 0.56535948 0.56535948 0.56721311 0.57377049],l1
8,True,Personal_pronouns,0.594109396914446,[0.56989247 0.55913978 0.58064516 0.60869565 0.65217391],l1
9,False,Personal_pronouns,0.5674124075859852,[0.56535948 0.56535948 0.56535948 0.56721311 0.57377049],l1
10,True,Modals,0.594109396914446,[0.56989247 0.55913978 0.58064516 0.60869565 0.65217391],l1
11,False,Modals,0.5674124075859852,[0.56535948 0.56535948 0.56535948 0.56721311 0.57377049],l1
12,True,Links,0.5962833099579242,[0.56989247 0.55913978 0.58064516 0.60869565 0.66304348],l1
13,False,Links,0.5674124075859852,[0.56535948 0.56535948 0.56535948 0.56721311 0.57377049],l1
14,True,Questions,0.594109396914446,[0.56989247 0.55913978 0.58064516 0.60869565 0.65217391],l1
15,False,Questions,0.5667566698810672,[0.56535948 0.56535948 0.56535948 0.56721311 0.5704918 ],l1
16,True,education,0.594109396914446,[0.56989247 0.55913978 0.58064516 0.60869565 0.65217391],l1
17,False,education,0.5674124075859852,[0.56535948 0.56535948 0.56535948 0.56721311 0.57377049],l1
18,True,ethnicity,0.594109396914446,[0.56989247 0.55913978 0.58064516 0.60869565 0.65217391],l1
19,False,ethnicity,0.5674124075859852,[0.56535948 0.56535948 0.56535948 0.56721311 0.57377049],l1
20,True,gender,0.594109396914446,[0.56989247 0.55913978 0.58064516 0.60869565 0.65217391],l1
21,False,gender,0.5674124075859852,[0.56535948 0.56535948 0.56535948 0.56721311 0.57377049],l1
22,True,income,0.594109396914446,[0.56989247 0.55913978 0.58064516 0.60869565 0.65217391],l1
23,False,income,0.5674124075859852,[0.56535948 0.56535948 0.56535948 0.56721311 0.57377049],l1
24,True,joined,0.594109396914446,[0.56989247 0.55913978 0.58064516 0.60869565 0.65217391],l1
25,False,joined,0.5674124075859852,[0.56535948 0.56535948 0.56535948 0.56721311 0.57377049],l1
26,True,party,0.594109396914446,[0.56989247 0.55913978 0.58064516 0.60869565 0.65217391],l1
27,False,party,0.5674124075859852,[0.56535948 0.56535948 0.56535948 0.56721311 0.57377049],l1
28,True,political_ideology,0.594109396914446,[0.56989247 0.55913978 0.58064516 0.60869565 0.65217391],l1
29,False,political_ideology,0.5674124075859852,[0.56535948 0.56535948 0.56535948 0.56721311 0.57377049],l1
30,True,relationship,0.594109396914446,[0.56989247 0.55913978 0.58064516 0.60869565 0.65217391],l1
31,False,relationship,0.5674124075859852,[0.56535948 0.56535948 0.56535948 0.56721311 0.57377049],l1
32,True,religious_ideology,0.594109396914446,[0.56989247 0.55913978 0.58064516 0.60869565 0.65217391],l1
33,False,religious_ideology,0.5674124075859852,[0.56535948 0.56535948 0.56535948 0.56721311 0.57377049],l1
34,True,CL,0.708485273492286,[0.72043011 0.69892473 0.67741935 0.70652174 0.73913043],l2
35,False,CL,0.7146726668809601,[0.73856209 0.67647059 0.70915033 0.72131148 0.72786885],l2
36,True,NVL,0.708485273492286,[0.72043011 0.69892473 0.67741935 0.70652174 0.73913043],l2
37,False,NVL,0.7146726668809601,[0.74183007 0.67320261 0.70915033 0.72131148 0.72786885],l2
38,True,Length,0.7084618980832165,[0.72043011 0.70967742 0.67741935 0.69565217 0.73913043],l2
39,False,Length,0.7199035679845709,[0.75163399 0.68300654 0.7124183  0.72459016 0.72786885],l2
40,True,R2O,0.7041841982234688,[0.70967742 0.68817204 0.67741935 0.70652174 0.73913043],l2
41,False,R2O,0.717938497803493,[0.75816993 0.67320261 0.7124183  0.72131148 0.72459016],l2
42,True,Personal_pronouns,0.708485273492286,[0.72043011 0.69892473 0.67741935 0.70652174 0.73913043],l2
43,False,Personal_pronouns,0.7199035679845709,[0.75163399 0.67973856 0.71568627 0.72459016 0.72786885],l2
44,True,Modals,0.7106358111266946,[0.72043011 0.70967742 0.67741935 0.70652174 0.73913043],l2
45,False,Modals,0.7199057109182471,[0.75490196 0.67973856 0.70915033 0.72786885 0.72786885],l2
46,True,Links,0.7041841982234689,[0.72043011 0.67741935 0.67741935 0.7173913  0.72826087],l2
47,False,Links,0.7212107575270545,[0.75163399 0.68627451 0.71568627 0.72459016 0.72786885],l2
48,True,Questions,0.7106591865357643,[0.72043011 0.69892473 0.67741935 0.7173913  0.73913043],l2
49,False,Questions,0.7225179470695382,[0.75490196 0.68627451 0.71895425 0.72459016 0.72786885],l2
50,True,education,0.708485273492286,[0.72043011 0.69892473 0.67741935 0.70652174 0.73913043],l2
51,False,education,0.7192499732133291,[0.75163399 0.67973856 0.7124183  0.72459016 0.72786885],l2
52,True,ethnicity,0.7106358111266946,[0.72043011 0.70967742 0.67741935 0.70652174 0.73913043],l2
53,False,ethnicity,0.7225179470695382,[0.75490196 0.68627451 0.71895425 0.72459016 0.72786885],l2
54,True,gender,0.708485273492286,[0.72043011 0.70967742 0.66666667 0.70652174 0.73913043],l2
55,False,gender,0.7199078538519232,[0.74836601 0.68300654 0.70915033 0.72786885 0.73114754],l2
56,True,income,0.7106358111266946,[0.72043011 0.70967742 0.67741935 0.70652174 0.73913043],l2
57,False,income,0.7199035679845709,[0.75490196 0.68300654 0.70915033 0.72459016 0.72786885],l2
58,True,joined,0.7106358111266946,[0.72043011 0.70967742 0.67741935 0.70652174 0.73913043],l2
59,False,joined,0.7212107575270545,[0.75490196 0.68300654 0.71568627 0.72459016 0.72786885],l2
60,True,party,0.708485273492286,[0.72043011 0.69892473 0.67741935 0.70652174 0.73913043],l2
61,False,party,0.7225179470695382,[0.75490196 0.68627451 0.71895425 0.72459016 0.72786885],l2
62,True,political_ideology,0.7106358111266946,[0.72043011 0.70967742 0.67741935 0.70652174 0.73913043],l2
63,False,political_ideology,0.7218643522982964,[0.75490196 0.68627451 0.71568627 0.72459016 0.72786885],l2
64,True,relationship,0.708485273492286,[0.72043011 0.69892473 0.67741935 0.70652174 0.73913043],l2
65,False,relationship,0.7218643522982964,[0.75490196 0.68627451 0.71568627 0.72459016 0.72786885],l2
66,True,religious_ideology,0.708485273492286,[0.72043011 0.69892473 0.67741935 0.70652174 0.73913043],l2
67,False,religious_ideology,0.7205571627558127,[0.75163399 0.67973856 0.71895425 0.72459016 0.72786885],l2
