,Religion,Lex,Ling,User,5FCV Mean
0,True,CL,"['Length', 'R2O']","['education', 'ethnicity']",0.6912342215988779
1,False,CL,"['Length', 'R2O']","['education', 'ethnicity']",0.744133719061395
2,True,CL,"['Length', 'R2O']","['education', 'gender']",0.7084385226741468
3,False,CL,"['Length', 'R2O']","['education', 'gender']",0.7519682845815922
4,True,CL,"['Length', 'R2O']","['education', 'income']",0.6955119214586254
5,False,CL,"['Length', 'R2O']","['education', 'income']",0.7585170898960676
6,True,CL,"['Length', 'R2O']","['education', 'joined']",0.6803179055633474
7,False,CL,"['Length', 'R2O']","['education', 'joined']",0.7493517625629487
8,True,CL,"['Length', 'R2O']","['education', 'party']",0.7148667601683029
9,False,CL,"['Length', 'R2O']","['education', 'party']",0.7624665166613094
10,True,CL,"['Length', 'R2O']","['education', 'political_ideology']",0.6955119214586254
11,False,CL,"['Length', 'R2O']","['education', 'political_ideology']",0.7513211186113791
12,True,CL,"['Length', 'R2O']","['education', 'relationship']",0.6760635811126695
13,False,CL,"['Length', 'R2O']","['education', 'relationship']",0.7611186113789778
14,True,CL,"['Length', 'R2O']","['education', 'religious_ideology']",0.6977559607293127
15,False,CL,"['Length', 'R2O']","['education', 'religious_ideology']",0.7526261652201864
16,True,CL,"['Length', 'R2O']","['ethnicity', 'gender']",0.7214586255259466
17,False,CL,"['Length', 'R2O']","['ethnicity', 'gender']",0.7428008143147969
18,True,CL,"['Length', 'R2O']","['ethnicity', 'income']",0.7149836372136512
19,False,CL,"['Length', 'R2O']","['ethnicity', 'income']",0.751299689274617
20,True,CL,"['Length', 'R2O']","['ethnicity', 'joined']",0.7041374474053296
21,False,CL,"['Length', 'R2O']","['ethnicity', 'joined']",0.7532754741240758
22,True,CL,"['Length', 'R2O']","['ethnicity', 'party']",0.7128330995792427
23,False,CL,"['Length', 'R2O']","['ethnicity', 'party']",0.7487088824600879
24,True,CL,"['Length', 'R2O']","['ethnicity', 'political_ideology']",0.7041374474053296
25,False,CL,"['Length', 'R2O']","['ethnicity', 'political_ideology']",0.751321118611379
26,True,CL,"['Length', 'R2O']","['ethnicity', 'relationship']",0.710682561944834
27,False,CL,"['Length', 'R2O']","['ethnicity', 'relationship']",0.7460966463087969
28,True,CL,"['Length', 'R2O']","['ethnicity', 'religious_ideology']",0.7215521271622254
29,False,CL,"['Length', 'R2O']","['ethnicity', 'religious_ideology']",0.7545933783349404
30,True,CL,"['Length', 'R2O']","['gender', 'income']",0.6976390836839645
31,False,CL,"['Length', 'R2O']","['gender', 'income']",0.7480381442194364
32,True,CL,"['Length', 'R2O']","['gender', 'joined']",0.6759700794763909
33,False,CL,"['Length', 'R2O']","['gender', 'joined']",0.7473995499839281
34,True,CL,"['Length', 'R2O']","['gender', 'party']",0.6975923328658251
35,False,CL,"['Length', 'R2O']","['gender', 'party']",0.7467480981463624
36,True,CL,"['Length', 'R2O']","['gender', 'political_ideology']",0.6998129967274427
37,False,CL,"['Length', 'R2O']","['gender', 'political_ideology']",0.7506782385085182
38,True,CL,"['Length', 'R2O']","['gender', 'relationship']",0.6803646563814867
39,False,CL,"['Length', 'R2O']","['gender', 'relationship']",0.7467395264116576
40,True,CL,"['Length', 'R2O']","['gender', 'religious_ideology']",0.6997428705002336
41,False,CL,"['Length', 'R2O']","['gender', 'religious_ideology']",0.7500075002678668
42,True,CL,"['Length', 'R2O']","['income', 'joined']",0.6868162692847125
43,False,CL,"['Length', 'R2O']","['income', 'joined']",0.7618022072216866
44,True,CL,"['Length', 'R2O']","['income', 'party']",0.6997428705002338
45,False,CL,"['Length', 'R2O']","['income', 'party']",0.7487303117968499
46,True,CL,"['Length', 'R2O']","['income', 'political_ideology']",0.7191678354371202
47,False,CL,"['Length', 'R2O']","['income', 'political_ideology']",0.7500203578699239
48,True,CL,"['Length', 'R2O']","['income', 'relationship']",0.6977325853202432
49,False,CL,"['Length', 'R2O']","['income', 'relationship']",0.7441208614593379
50,True,CL,"['Length', 'R2O']","['income', 'religious_ideology']",0.7128330995792427
51,False,CL,"['Length', 'R2O']","['income', 'religious_ideology']",0.7565627343833708
52,True,CL,"['Length', 'R2O']","['joined', 'party']",0.7063581112669471
53,False,CL,"['Length', 'R2O']","['joined', 'party']",0.7604971606128791
54,True,CL,"['Length', 'R2O']","['joined', 'political_ideology']",0.7148200093501635
55,False,CL,"['Length', 'R2O']","['joined', 'political_ideology']",0.7539419264973749
56,True,CL,"['Length', 'R2O']","['joined', 'relationship']",0.7063113604488078
57,False,CL,"['Length', 'R2O']","['joined', 'relationship']",0.7447744562305797
58,True,CL,"['Length', 'R2O']","['joined', 'religious_ideology']",0.6889434315100514
59,False,CL,"['Length', 'R2O']","['joined', 'religious_ideology']",0.753277617057752
60,True,CL,"['Length', 'R2O']","['party', 'political_ideology']",0.708415147265077
61,False,CL,"['Length', 'R2O']","['party', 'political_ideology']",0.7428265295189115
62,True,CL,"['Length', 'R2O']","['party', 'relationship']",0.7106124357176251
63,False,CL,"['Length', 'R2O']","['party', 'relationship']",0.7559027108111004
64,True,CL,"['Length', 'R2O']","['party', 'religious_ideology']",0.7236091631603553
65,False,CL,"['Length', 'R2O']","['party', 'religious_ideology']",0.7637501339333548
66,True,CL,"['Length', 'R2O']","['political_ideology', 'relationship']",0.7128798503973819
67,False,CL,"['Length', 'R2O']","['political_ideology', 'relationship']",0.7467352405443052
68,True,CL,"['Length', 'R2O']","['political_ideology', 'religious_ideology']",0.7214586255259468
69,False,CL,"['Length', 'R2O']","['political_ideology', 'religious_ideology']",0.7454494803385836
70,True,CL,"['Length', 'R2O']","['relationship', 'religious_ideology']",0.6977793361383824
71,False,CL,"['Length', 'R2O']","['relationship', 'religious_ideology']",0.7526475945569485
72,True,CL,"['Length', 'Personal_pronouns']","['education', 'ethnicity']",0.6934315100514258
73,False,CL,"['Length', 'Personal_pronouns']","['education', 'ethnicity']",0.7519618557805636
74,True,CL,"['Length', 'Personal_pronouns']","['education', 'gender']",0.6761103319308088
75,False,CL,"['Length', 'Personal_pronouns']","['education', 'gender']",0.7513189756777028
76,True,CL,"['Length', 'Personal_pronouns']","['education', 'income']",0.6890369331463301
77,False,CL,"['Length', 'Personal_pronouns']","['education', 'income']",0.7585085181613629
78,True,CL,"['Length', 'Personal_pronouns']","['education', 'joined']",0.6544880785413745
79,False,CL,"['Length', 'Personal_pronouns']","['education', 'joined']",0.7545890924675882
80,True,CL,"['Length', 'Personal_pronouns']","['education', 'party']",0.682678821879383
81,False,CL,"['Length', 'Personal_pronouns']","['education', 'party']",0.7585235186970963
82,True,CL,"['Length', 'Personal_pronouns']","['education', 'political_ideology']",0.6998597475455821
83,False,CL,"['Length', 'Personal_pronouns']","['education', 'political_ideology']",0.7598178506375228
84,True,CL,"['Length', 'Personal_pronouns']","['education', 'relationship']",0.6848293595137915
85,False,CL,"['Length', 'Personal_pronouns']","['education', 'relationship']",0.7552341155041251
86,True,CL,"['Length', 'Personal_pronouns']","['education', 'religious_ideology']",0.6912575970079475
87,False,CL,"['Length', 'Personal_pronouns']","['education', 'religious_ideology']",0.7604907318118505
88,True,CL,"['Length', 'Personal_pronouns']","['ethnicity', 'gender']",0.6825619448340345
89,False,CL,"['Length', 'Personal_pronouns']","['ethnicity', 'gender']",0.7454237651344691
90,True,CL,"['Length', 'Personal_pronouns']","['ethnicity', 'income']",0.7236325385694249
91,False,CL,"['Length', 'Personal_pronouns']","['ethnicity', 'income']",0.7434586949533912
